,Utterance_ID,Speaker,Utterance,Emotion,Dialogue_ID
0,1,Rachel,"Joey, I have something really scary to tell you!",fear,1039
1,2,Joey,"Oh no, what is it? You're scaring me.",fear,1039
2,3,Rachel,I think I saw a ghost in our apartment last night.,fear,1039
3,4,Joey,"What?! No way, that's not possible!",fear,1039
4,5,Rachel,"I swear, it was floating right by the window.",fear,1039
5,6,Joey,"Okay, okay, let's think this through. Maybe it was just a trick of the light.",fear,1039
6,7,Rachel,"No, it was definitely a ghost. It looked right at me!",fear,1039
7,8,Joey,"Alright, we need to figure out what to do. Maybe we should call someone?",fear,1039
8,9,Rachel,Who are we going to call? Ghostbusters?,fear,1039
9,10,Joey,"No, we can call Ross. He'll know what to do.",fear,1039
0,1,Monica,Did you hear that noise?,fear,1040
1,2,Angela,"No, what noise?",neutral,1040
2,3,Bob,I heard it too. It sounded like footsteps.,fear,1040
3,4,Monica,"Oh my god, what if it's an intruder?",fear,1040
4,5,Joey,Stay calm. I'll go check it out.,neutral,1040
5,6,Monica,"No, Joey, don't go!",fear,1040
6,7,Joey,"It's probably nothing, but I'll be careful.",neutral,1040
0,1,Joey,Hey-hey! Stanley! Hey-hey! You're leading man is here! Let's get to work.,joy,1041
1,2,Stanley,"Umm, slight change of plans. We've shut down.",fear,1041
2,3,Joey,Wh-what?! Why?!,surprise,1041
3,4,Stanley,"It's a money thing, we don't have any.",fear,1041
4,5,Joey,You're kidding right?,surprise,1041
5,6,Stanley,No.,neutral,1041
6,7,Joey,What?!,surprise,1041
7,8,Stanley,"It-it's probably just temporary. We're hoping to get some more money soon, so if could just uh, hang out.",fear,1041
8,9,Joey,"Uh, hang out?! How long?",fear,1041
9,10,Stanley,I don't know.,neutral,1041
10,11,Stanley,A week?,fear,1041
11,12,Stanley,Maybe two?,neutral,1041
12,13,Stanley,The money will turn up!,fear,1041
13,14,Stanley,People will always wanna invest in movies!,neutral,1041
14,15,Stanley,"Hey, you're not rich are ya?",neutral,1041
15,16,Joey,No!,fear,1041
16,17,Stanley,"Eh, worth a shot.  Look Joey, let me know where you're staying, okay?",fear,1041
17,18,The Grip,"Hey pal, are you Joey Tribbiani?",neutral,1041
18,19,Joey,Yeah.,neutral,1041
19,20,The Grip,These got left for ya.,neutral,1041
20,21,Joey,Thanks.   Congratulations on your big break.,fear,1041
0,1,Ross,I can't believe I have to go back to the store and return these pants.,fear,1042
1,2,Monica,Why are you scared of returning pants?,surprise,1042
2,3,Ross,What if they don't take them back? I'll be stuck with these leather pants forever!,fear,1042
3,4,Chandler,"Oh my God! You guys, I just realized something...",fear,1042
4,5,Rachel,"What is it, Chandler?",neutral,1042
5,6,Chandler,What if laundry day never ends? What if we're stuck doing laundry for the rest of our lives?,fear,1042
6,7,Joey,I don't wanna live in a world without pizza.,fear,1042
7,8,Monica,"Guys, it's gonna be okay. We'll figure out the pants situation and we won't be doing laundry forever.",neutral,1042
8,9,Ross,"I hope so, Monica. I don't know if I can handle this fear anymore.",fear,1042
9,10,Rachel,"Hey, at least we're all in this together, right?",joy,1042
10,11,Ross,"Yeah, I guess that's something.",neutral,1042
11,12,Chandler,"Okay, but seriously, what if we're stuck in a never-ending laundry day?",fear,1042
12,13,Joey,"Then we'll just have to make the best of it, and eat a lot of pizza.",joy,1042
0,1,Rachel,"Phoebe, I don't know if I can do this.",fear,1043
1,2,Phoebe,"What's wrong, Rach?",neutral,1043
2,3,Rachel,This whole idea of riding a horse in the city scares me. What if something goes wrong?,fear,1043
3,4,Phoebe,"Oh, Rach, it'll be fine. Just hold on tight and you'll be gone before anyone even notices!",neutral,1043
4,5,Rachel,"I don't know, Pheebs. I have a bad feeling about this.",fear,1043
5,6,Phoebe,"Alright, we don't have to do it. But remember, fear is just a feeling. It doesn't have to control you.",neutral,1043
0,1,The Conductor,"Final destination, New York City.",neutral,1044
1,2,Lila,I can't believe we're finally here. It feels like we've been on this train for ages.,neutral,1044
2,3,Ethan,"I know, right? But at least we made it safely.",neutral,1044
