,Utterance_ID,Speaker,Utterance,Emotion,Dialogue_ID
0,1,Monica,I can't believe this is happening. It's like a nightmare come true!,fear,1039
1,2,Chandler,"What, are we being punked or something?",fear,1039
2,3,Ross,This can't be real. I refuse to believe it!,fear,1039
3,4,Rachel,"Okay, okay, let's all just calm down. Panicking won't help anything!",fear,1039
4,5,Joey,I knew I shouldn't have eaten that taco from the mystery meat cart!,fear,1039
5,6,Monica,"Guys, this is serious. We need to figure out what to do!",fear,1039
6,7,Ross,I can't think straight. My mind is racing with worst-case scenarios!,fear,1039
7,8,Chandler,Maybe we should call someone. Get some help.,fear,1039
8,9,Rachel,Who would we even call? We don't know what we're dealing with here!,fear,1039
9,10,Joey,I'm never eating mystery meat again. I swear!,fear,1039
10,11,Monica,We need to stay calm and think this through. Let's not let fear consume us.,fear,1039
0,1,Tag,I don't think I can do this anymore.,fear,1040
1,2,Rachel,What do you mean? What's wrong?,surprise,1040
2,3,Tag,"This job, this life... it's not for me. I'm constantly scared that I'm going to mess up.",fear,1040
3,4,Rachel,"Tag, it's normal to feel this way. Everyone is afraid of failure, but you can't let that fear consume you.",neutral,1040
4,5,Tag,But what if I do fail? What if I'm not good enough?,fear,1040
5,6,Rachel,Then you'll learn from it and you'll grow. But running away from your fear won't solve anything.,neutral,1040
6,7,Tag,I just... I don't know if I can face it. What if everyone sees that I'm a fraud?,fear,1040
7,8,Rachel,"Tag, listen to me. You are not a fraud. You are smart, capable, and you have so much potential.",joy,1040
8,9,Tag,You really think so?,surprise,1040
9,10,Rachel,"I know so. And I believe in you. You can do this, Tag. Just take a deep breath and face your fear.",joy,1040
10,11,Tag,"Okay... okay. I'll try. Thank you, Rachel.",fear,1040
11,12,Rachel,"Anytime. Now, let's get back to work. Together, we'll face whatever comes.",joy,1040
0,1,Joey,"Dude, we need to pick a theme for the café, or we're gonna lose customers!",fear,1041
1,2,Chandler,"I know, I know! But maybe we should consider something less... unusual.",fear,1041
2,3,Joey,What's wrong with unusual? People love unusual!,neutral,1041
3,4,Chandler,"Yes, but we don't want to scare them away!",fear,1041
4,5,Joey,"Okay, okay. How about a jungle theme?",neutral,1041
5,6,Chandler,A jungle theme? Are you serious?,surprise,1041
6,7,Joey,"Yeah! We can have fake trees, and animals, and... and...",joy,1041
7,8,Chandler,And what about the bugs?,fear,1041
8,9,Joey,"Well, we'll have to make sure they're not real, or we'll have a mutiny on our hands!",fear,1041
9,10,Chandler,"I don't know, Joey. I think we need something more... calming.",fear,1041
10,11,Joey,"Fine, you pick something!",anger,1041
11,12,Chandler,"Okay, how about a beach theme?",neutral,1041
12,13,Joey,A beach theme? In New York?,surprise,1041
