Start,End,Speaker,Speech,meeting
14.41,16.36,C,Mm-hmm . Mm-hmm .,EN2003a
16.76,21.38,A,"Can you just remind me , I don't have to tick the no n okay thing until I finish writing , but it's only",EN2003a
21.32,21.61,C,Yeah,EN2003a
21.38,21.61,A,if I,EN2003a
21.61,21.61,C,.,EN2003a
21.61,27.23,A,go back to it I tick okay again . Mm . Yep .,EN2003a
27.88,32.56,B,"So if you've um if you're back to a page , then you tick it again to leave it for the second time .",EN2003a
42.5,43.41,A,So,EN2003a
42.7,43.04,C,Mm-hmm .,EN2003a
43.41,54.47,A,"if I'm working o if I've done a page , I'm on the second page , I tick it so um I finish that page and I go back to this , I can just write and then not tick until I finish writing again . Yeah , so it's always after , n you never have",EN2003a
54.46,54.65,C,Yeah,EN2003a
54.47,54.67,A,to,EN2003a
54.65,54.65,C,.,EN2003a
54.67,56.77,A,it before . Fine . Fine .,EN2003a
63.75,64.12,C,Okay,EN2003a
64.0,64.27,B,I don't,EN2003a
64.12,64.12,C,.,EN2003a
64.27,65.84,B,believe all this stuff . It's just amazing .,EN2003a
69.32,73.93,A,And you can go on both sides as well . Okay .,EN2003a
74.37,79.06,C,"Yeah , right . Where should we start",EN2003a
78.16,79.11,A,"Well , I think the first thing",EN2003a
79.06,79.26,C,? What,EN2003a
79.11,79.28,A,is,EN2003a
79.26,79.73,C,have we got ?,EN2003a
80.87,87.91,A,"Well , the first thing I think is we need to uh sort out the call for abstracts or the c the call for",EN2003a
87.88,88.26,C,Mm-hmm,EN2003a
87.91,88.45,A,titles,EN2003a
88.26,88.26,C,.,EN2003a
88.45,88.8,A,", because",EN2003a
88.79,89.15,B,Mm-hmm,EN2003a
88.8,89.15,A,I think,EN2003a
89.15,89.15,B,.,EN2003a
89.15,91.5,A,that's kind of overdue,EN2003a
91.21,91.51,B,Right,EN2003a
91.5,93.49,A,. Yeah,EN2003a
91.51,91.51,B,.,EN2003a
93.49,102.38,A,? Um so I volunteer to do that if you like . Um,EN2003a
100.28,100.68,B,Fine,EN2003a
100.31,100.96,C,"Yeah , right",EN2003a
100.68,102.12,B,. Yep,EN2003a
100.96,100.96,C,.,EN2003a
102.12,102.12,B,.,EN2003a
102.38,118.17,A,"uh okay . So And I'll do that by Trying to think , what is it Thursday today , I'll d I'll do that by the end of the week anyway . So",EN2003a
118.6,129.65,B,"And um you're gonna was it your idea to stick the bit in it where you say um uh , you know , you're we're inviting like from quite a wide audience we give priority",EN2003a
129.49,129.71,C,Mm-hmm,EN2003a
129.65,129.8,B,to,EN2003a
129.71,129.71,C,.,EN2003a
129.8,130.53,B,linguists,EN2003a
130.31,130.89,A,Yeah,EN2003a
130.53,130.53,B,?,EN2003a
130.89,150.42,A,", we're gonna do that , but I think we should s probably send out um separate calls , okay . So we'll send one , but weren't men I mean we could mention the fact that we're inviting other people , but I think it will probably just uh I mean it probably won't matter too much to the other linguists that we're having other people there . We can mention it , but",EN2003a
150.0,150.43,B,Mm-hmm,EN2003a
150.42,150.6,A,it's,EN2003a
150.43,150.43,B,.,EN2003a
150.6,160.13,A,"not gonna be too essential and uh we might actually just end up making them worry that , you know , they're gonna lose their place or whatever , because",EN2003a
159.48,159.88,B,Mm-hmm,EN2003a
159.81,160.24,C,Yeah,EN2003a
159.88,159.88,B,.,EN2003a
160.13,160.27,A,uh I,EN2003a
160.24,160.69,C,", yeah",EN2003a
160.27,160.58,A,don't know .,EN2003a
160.69,163.06,C,. I thi separate course is good idea . That's,EN2003a
162.69,173.26,A,"But we do we do have to decide a priority thing , so that's something else we can look at um a little bit later down the line",EN2003a
172.87,173.2,C,Mm-hmm .,EN2003a
173.26,179.44,A,. So so that's the one for ling basically and I'll send that out .,EN2003a
185.08,205.84,A,"I'll do that today or tomorrow . Um now Claire , that's the other thing , she can deal with the Psychology . Um Psychology people , probably that's I reckon it's the best thing to do . 'Cause she'll know which email address to use",EN2003a
205.61,205.89,C,Mm-hmm,EN2003a
205.84,206.29,A,and,EN2003a
205.89,205.89,C,.,EN2003a
206.06,206.51,B,Mm-hmm,EN2003a
206.29,206.72,A,and everything,EN2003a
206.51,206.51,B,.,EN2003a
206.72,211.52,A,else . So um if one of us could email Claire .,EN2003a
212.3,212.56,C,Mm yeah .,EN2003a
214.49,218.44,B,"Is it was that a volunteering yeah , or",EN2003a
218.11,218.41,A,Okay,EN2003a
218.19,219.07,C,Yeah,EN2003a
218.41,218.57,A,", yeah",EN2003a
218.44,219.92,B,great,EN2003a
218.57,219.14,A,", so if Robert",EN2003a
219.07,219.92,C,". Yeah , when in doubt",EN2003a
219.92,219.92,B,.,EN2003a
219.92,219.92,C,.,EN2003a
220.55,230.12,A,So i if Robert emails Claire and we're n gonna need to decide exactly what she's gonna say on there . Um,EN2003a
231.34,231.59,C,Mm-hmm,EN2003a
231.56,231.67,A,we,EN2003a
231.59,231.59,C,.,EN2003a
231.67,236.82,A,might need to just remind her of the dates in case she doesn't know,EN2003a
236.26,236.6,B,Yeah .,EN2003a
236.82,240.0,A,", so she gets the dates right . Um",EN2003a
246.55,253.66,A,And uh um she's I know she already knows that it's just anyone doing psycho-linguistics basically,EN2003a
251.87,252.16,C,Mm-hmm .,EN2003a
253.66,254.53,A,. So that's fine .,EN2003a
255.26,259.93,B,"And that should kinda take care of itself as well . If she just sends one round around to everyone , then only the psycho-linguists",EN2003a
259.7,259.94,C,Yeah,EN2003a
259.93,260.04,B,will,EN2003a
259.94,259.94,C,.,EN2003a
260.04,260.82,B,say what was for me .,EN2003a
261.23,270.13,A,"Yeah , exactly . Exactly . Um But then there's the rest of P_P_L_S_ and I think we need to decide whether",EN2003a
269.67,277.63,C,"Right . But the the text for the actual call , is she going to re-work something or",EN2003a
277.36,277.67,A,I think,EN2003a
277.63,277.99,C,uh,EN2003a
277.67,278.05,A,she should,EN2003a
277.99,278.12,C,she,EN2003a
278.05,278.44,A,just,EN2003a
278.12,278.31,C,should,EN2003a
278.44,280.06,A,I think she should just write her own .,EN2003a
280.91,281.25,C,Mm-hmm .,EN2003a
281.78,283.53,A,Probably . And,EN2003a
283.88,289.85,C,I think she might be glad to see kinda there linguistics,EN2003a
289.27,290.02,A,Okay . So what,EN2003a
289.85,290.38,C,to adapt,EN2003a
290.02,290.97,A,we'll do,EN2003a
290.38,290.99,C,. That's always quite,EN2003a
290.97,291.06,A,I,EN2003a
290.99,291.45,C,helpful,EN2003a
291.06,291.58,A,mean the thing,EN2003a
291.45,291.45,C,.,EN2003a
291.58,294.74,A,is the the main call will go out before,EN2003a
293.51,293.82,C,Mm-hmm .,EN2003a
294.74,296.48,A,she's got round to it anyway . So what,EN2003a
296.42,296.62,C,Yep,EN2003a
296.48,296.64,A,I'll,EN2003a
296.62,296.62,C,.,EN2003a
296.64,299.63,A,do is I'll copy it . I'll C_C_ her on,EN2003a
299.09,299.47,B,Mm .,EN2003a
299.63,300.34,A,the um,EN2003a
301.02,303.95,B,I mean 'cause I can't imagine there'd be an essential difference really between the,EN2003a
304.03,315.64,A,"No , they won't be . I just th the only thing I'm thinking is I want to make sure that it stands out as something applicable to them , that they don't go oh , we're just getting rubbish from",EN2003a
315.33,315.8,B,"Right , yeah",EN2003a
315.64,315.71,A,y,EN2003a
315.67,316.31,C,Yeah,EN2003a
315.71,316.0,A,you,EN2003a
315.8,315.8,B,.,EN2003a
316.0,317.75,A,know what I mean,EN2003a
316.31,316.78,C,. Yeah .,EN2003a
317.75,321.79,A,. I want them to really know that it's addressed to them . Um,EN2003a
321.66,321.77,C,Ab,EN2003a
321.79,326.05,A,and the good thing about Claire sending it is she's probably got a psych email address as,EN2003a
326.01,326.42,B,Mm-hmm,EN2003a
326.05,326.47,A,well and,EN2003a
326.42,326.42,B,.,EN2003a
326.47,328.67,A,it it might look a bit more relevant to them .,EN2003a
328.97,331.38,C,Not certain anyway . They know her,EN2003a
331.13,331.38,A,Yeah,EN2003a
331.38,331.56,C,. That's,EN2003a
331.38,331.82,A,", exactly",EN2003a
331.56,331.9,C,that thing,EN2003a
331.82,331.96,A,. They,EN2003a
331.9,331.9,C,.,EN2003a
331.96,341.3,A,"know her , et cetera . Um so yeah , so if if we've s if I've C_C_ed the original one , then you can tell her that",EN2003a
