Start,End,Speaker,Speech,meeting
7.59,8.19,A,Mm-hmm ?,ES2007a
21.27,22.1,A,Okay .,ES2007a
32.34,33.07,A,Ooh .,ES2007a
36.25,46.74,B,So we're 'kay ? On the or No . I dunno where to put it 'cause the Okay . Could you s take it off ? .,ES2007a
49.96,60.96,D,Is that alright ? or Okay .,ES2007a
64.59,64.99,B,Okay .,ES2007a
69.39,71.19,D,Keeps coming off . 'S fiddly .,ES2007a
82.23,82.36,A,Hmm .,ES2007a
89.47,90.07,D,Right,ES2007a
90.06,90.12,A,How,ES2007a
90.07,90.07,D,.,ES2007a
90.12,94.82,A,do we sta wa how do we start ? Does anybody know ?,ES2007a
96.87,97.68,D,"Oh , another one .",ES2007a
107.15,113.8,A,"So that's this Oh okay , right",ES2007a
112.84,113.92,B,Are we free to take,ES2007a
113.8,113.8,A,.,ES2007a
113.92,117.52,B,notes uh Okay .,ES2007a
119.06,124.19,A,Uh .,ES2007a
137.001,137.001,A,.,ES2007a
142.26,142.76,A,Hmm .,ES2007a
148.95,153.84,A,"Okay , just hang on a second everybody . I haven't actually looked at this yet .",ES2007a
156.27,156.56,D,Ah .,ES2007a
157.83,158.16,A,um,ES2007a
158.91,159.24,D,Very nice .,ES2007a
159.96,166.95,A,"I haven't looked at it , but let's just start it off and we'll see what happens . If you're all ready .",ES2007a
167.82,168.11,C,Yeah .,ES2007a
173.83,194.76,A,"So is the agenda ? Opening , acquaintance , tool training and project plan , discussion and then closing . Project aim is a new remote control . It's original , uh trendy and it's user-friendly",ES2007a
193.63,194.22,D,'Kay .,ES2007a
194.76,221.55,A,". Project method , functional design , individual work , another meeting , conceptual design , individual work , and a meeting of details design , individual work and a meeting . Tool training . Try out the whiteboard , every participant should draw their favourite animal and sum up their favourite characteristics of that animal .",ES2007a
222.96,223.83,D,Okay .,ES2007a
223.97,230.53,A,"Um . Uh Miss Industrial Designer , would you like to",ES2007a
230.52,231.02,B,Okay,ES2007a
230.53,231.28,A,go first,ES2007a
231.02,231.02,B,.,ES2007a
231.28,231.28,A,?,ES2007a
232.11,235.37,B,So are we supposed to bring the little things for the,ES2007a
235.57,239.28,A,"Yeah , why don't you just c , I think just clip on clip do you have a belt ?",ES2007a
239.98,241.64,D,Clip,ES2007a
240.09,240.36,B,Mm .,ES2007a
240.72,242.16,A,Or put 'em in your pocket,ES2007a
241.64,241.64,D,.,ES2007a
241.74,245.63,B,Yeah,ES2007a
242.16,242.48,A,", yeah .",ES2007a
245.63,248.2,B,. okay . So my favourite animal,ES2007a
249.06,250.51,A,"Yeah , what's your favourite animal ?",ES2007a
252.92,253.93,B,'Kay um,ES2007a
259.83,260.01,D,Ah .,ES2007a
265.24,265.9,A,Is it rude,ES2007a
265.89,266.03,D,It's,ES2007a
265.9,265.9,A,?,ES2007a
266.03,267.87,D,an elephant .,ES2007a
268.79,270.13,A,That's a very good elephant .,ES2007a
270.3,271.62,C,The back end of an elephant,ES2007a
271.52,271.77,D,Oh my,ES2007a
271.62,271.62,C,.,ES2007a
271.77,277.05,D,"gosh , I'm never gonna be able to draw that well",ES2007a
