Start,End,Speaker,Speech,meeting
47.14,47.37,B,Hi .,IB4010.
47.66,48.03,D,Hi .,IB4010.
48.29,48.93,C,Hello,IB4010.
48.67,48.91,A,Hello .,IB4010.
48.93,48.93,C,.,IB4010.
48.96,49.65,B,Hi everyone,IB4010.
49.6,50.73,D,So,IB4010.
49.65,49.65,B,.,IB4010.
50.73,55.72,D,I don't know if you all received the the a agenda for this meeting . Do you,IB4010.
55.22,56.09,C,"No , I haven't",IB4010.
55.72,56.05,D,no ?,IB4010.
56.09,56.09,C,.,IB4010.
57.19,57.41,D,Here it,IB4010.
57.38,57.53,C,Thank,IB4010.
57.41,57.58,D,is,IB4010.
57.53,57.71,C,you,IB4010.
57.58,57.58,D,.,IB4010.
57.71,57.71,C,.,IB4010.
58.16,59.07,B,I haven't .,IB4010.
59.92,72.11,D,So um um the goal for today are um We have two goals . Uh first is to decide a movie for uh the next projection for our movie club,IB4010.
71.32,71.63,C,Mm-hmm .,IB4010.
71.7,72.11,B,Mm-hmm,IB4010.
72.11,72.35,D,. As,IB4010.
72.11,72.11,B,.,IB4010.
72.35,127.34,D,"you know uh so it's for the last Friday of this month of April . As you probably remember , the movie already projected were uh Lawrence of Arabia and Apocalypse Now in February and Amadeus from Milos Forman in March . So um the question that is open is are we going to select a movie from the nineties and which movie . So that's the first goal , decide for a movie to be projected , and second goal is to uh discuss for an ad advertising poster um for our um uh club , because we noticed that n last time not enough people came to the projection . So that's it . Um wh who wants to start to So I guess you all prepared some documents for the mm selection of movie .",IB4010.
127.65,128.79,A,Yeah,IB4010.
128.29,129.06,B,Yes,IB4010.
128.59,128.86,D,Okay,IB4010.
128.79,129.31,A,. Yep,IB4010.
128.86,128.86,D,.,IB4010.
129.06,129.58,B,. So who,IB4010.
129.31,129.31,A,.,IB4010.
129.58,132.53,B,who has what ? Actually maybe um,IB4010.
131.88,134.21,A,Um I've got a PowerPoint presentation .,IB4010.
135.0,135.34,B,Uh-huh,IB4010.
135.03,135.51,D,Okay,IB4010.
135.34,135.62,B,. What,IB4010.
135.51,135.51,D,.,IB4010.
135.62,136.4,B,"do you have , Mirek ?",IB4010.
136.55,142.7,C,"Okay , I have a PowerPoint presentation and uh it's about there are some reviews of the of the I think like seven movies .",IB4010.
142.89,151.44,B,"Uh-huh . And I have a uh well just a a piece of paper with some suggestions . What about you , Denis",IB4010.
151.29,151.55,D,Yeah,IB4010.
151.44,151.44,B,?,IB4010.
151.55,154.99,D,", I have also uh a piece of paper with uh my favourite movie .",IB4010.
155.3,155.63,B,Uh-huh .,IB4010.
156.42,157.02,D,"Okay , so",IB4010.
156.84,158.12,B,should we start with the two,IB4010.
158.03,159.04,D,presentation,IB4010.
158.12,159.11,B,presentations maybe,IB4010.
159.04,159.65,D,? Yeah,IB4010.
159.11,159.23,B,? Yeah ?,IB4010.
159.65,161.54,D,". Okay . A Agnes , we can start with",IB4010.
161.49,161.74,A,Sure,IB4010.
161.54,161.77,D,you,IB4010.
161.74,161.74,A,.,IB4010.
161.77,161.77,D,?,IB4010.
163.85,165.3,A,It's not very long in any case .,IB4010.
166.02,167.2,D,"Okay , here it is .",IB4010.
167.66,169.35,A,Yep,IB4010.
168.76,169.49,D,I passed this,IB4010.
169.35,171.1,A,. Yeah,IB4010.
169.49,169.64,D,one .,IB4010.
171.1,229.66,A,". Okay , so what I was thinking is basically the previous movies that we had , which you've already mentioned in the agenda d um Lawrence of Arabia , Apocalypse Now and Amadeus , were fairly historical , serious , dramatic , and also action-ey movies except for maybe Amadeus . Um this month I was thinking of selecting something that's more in the present time , still dramatic but slightly less serious . And what I'd propose is something of a thriller or mystery . And I know that a lot of people find mystery is not really mysterious in the movies these days , they kind of can predict what's gonna happen , um but in the nineties there were some movies that did have surprise endings and that people came out saying okay , didn't see that coming , so I thought we could maybe show one of those . And even if people have already seen the movie , a lot of the times you go back and watch the movie again , and you pick up on things that you didn't really notice the first time around , or you see where the clues were and mm what led up to the",IB4010.
229.65,230.05,B,Mm-hmm,IB4010.
229.66,230.11,A,end,IB4010.
230.05,230.05,B,.,IB4010.
230.11,298.88,A,", so that's more along the lines of what I was thinking . And the two in particular that I would propose are , next slide please , The Usual Suspects and The Sixth Sense . Um I don't know if you've seen any of them . Uh The Usual Suspects was directed by Bryan Singer and written by Christopher McQuarrie . It has a fairly large cast , so I'm not gonna read all of them , but the main characters are Kevin Spacey and Gabriel Byrne . And it's basically about five criminals who get set up . Um they're arrested , they're released from prison and the get together um and plan a crime , and basically the story is told through the views of one of the suspects . Um the tag line is kind of neat , five criminals , one lineup , no coincidence and you get told the story um as uh that these f characters are being controlled um by one sort of uber-villain , and in the end you find who the uber-villain was . And I kind of like the the quote from Rolling Stone magazine , The Usual Suspects is the freshest",IB4010.
298.85,299.15,D,Which,IB4010.
298.88,299.52,A,", funniest",IB4010.
299.15,303.92,D,"which one was it again ? The guy who was controlling ? I don't remember , I have seen the movie twice , but uh",IB4010.
303.87,305.6,A,Well they ha have you guys seen the movie ?,IB4010.
305.62,306.35,B,"No , I haven't seen",IB4010.
306.26,306.43,C,No,IB4010.
306.35,306.67,B,it,IB4010.
