Start,End,Speaker,Speech,meeting
39.79,40.15,B,Okay,IN1016.
39.96,40.4,A,Thanks,IN1016.
40.15,40.83,B,", we start",IN1016.
40.4,40.4,A,.,IN1016.
40.83,43.79,B,waiting for people coming late and,IN1016.
43.41,43.89,C,Yeah,IN1016.
43.58,43.78,A,Yeah .,IN1016.
43.79,44.52,B,uh,IN1016.
43.89,44.78,C,", sorry about that , Matthew",IN1016.
44.52,44.87,B,I can,IN1016.
44.78,45.04,C,is still,IN1016.
44.87,45.09,B,say,IN1016.
45.04,45.22,C,on,IN1016.
45.09,45.28,B,this,IN1016.
45.22,45.29,C,the,IN1016.
45.28,45.58,B,because,IN1016.
45.29,45.41,C,way .,IN1016.
45.58,51.32,B,in this moment you cannot answer because you don't have the microphone . So I can say whatever,IN1016.
50.85,51.08,A,Yeah .,IN1016.
51.32,54.07,B,and you cannot reply . So,IN1016.
53.41,54.18,C,"Okay , hang on",IN1016.
54.07,54.42,B,yeah,IN1016.
54.18,54.56,C,", reply",IN1016.
54.42,54.42,B,.,IN1016.
54.56,77.0,C,"coming . Yeah , it's okay . U oh , I hate these things . Voila . Okay . So Um we can maybe get a head start . Um have you been talking to Matthew about what you've been doing ? Or",IN1016.
77.01,101.91,A,"Um a little bit , but uh I'm m I'm not sure he knows uh everything . So uh basically uh well , first we tried to um explain why in this uh resc uh N_ best list re-scoring uh from the slides to enhance the speech recognition",IN1016.
101.75,101.92,C,Yeah,IN1016.
101.91,102.04,A,on,IN1016.
101.92,101.92,C,.,IN1016.
102.04,105.18,A,the meetings data is not working,IN1016.
104.38,104.96,C,"Yeah , yeah .",IN1016.
105.18,67.262,A,. So um uh that's one thing . And uh so what .,IN1016.
111.69,133.22,A,we did with Alessandro is uh um ch t uh performing some statistical tests to see whatever r if the if the words uh the the appearance of the words during the meeting is uh in independent of the ap appearances of the different slides .,IN1016.
133.4,133.65,C,Yeah .,IN1016.
133.67,141.25,A,So the in the case if it is dependent that would mean that certain words tend to appear during certain slides,IN1016.
140.75,141.26,C,"Yeah , which",IN1016.
141.25,141.42,A,and,IN1016.
141.26,141.42,C,was,IN1016.
141.42,141.58,A,that,IN1016.
141.42,142.63,C,the intuitive,IN1016.
141.58,143.02,A,there is a correlation,IN1016.
142.63,143.49,C,feeling,IN1016.
143.02,143.76,A,and uh,IN1016.
143.49,143.49,C,.,IN1016.
143.76,149.8,A,then there will be uh a reason like for believing that uh this,IN1016.
149.47,150.77,C,Yeah,IN1016.
149.8,150.5,A,will work .,IN1016.
150.77,154.42,C,. Yeah . And is and the r result was no,IN1016.
153.99,154.52,A,The resu the,IN1016.
154.42,154.74,C,. But,IN1016.
154.52,154.9,A,result,IN1016.
154.74,155.25,C,uh bu,IN1016.
154.9,155.39,A,was no,IN1016.
155.25,155.47,C,but the,IN1016.
155.39,155.39,A,.,IN1016.
155.47,162.83,C,question is if is that result no because it's no or is it also just because there's not really enough data to be,IN1016.
162.73,163.18,B,Ye,IN1016.
162.83,163.84,C,sure about anything ?,IN1016.
164.09,171.55,B,In my opinion it is no because of the nature of the language . I mean intuitively of course you tend to use more the words that are on the slide.,IN1016.
170.95,171.29,C,Sure .,IN1016.
171.55,182.6,B,", But the mass of the words actually you use are words that are common . Just think that fifty percent of the words on average whatever corpus you take are stop words",IN1016.
182.45,182.75,C,Yeah,IN1016.
182.6,183.12,B,", articles",IN1016.
182.75,183.76,C,", okay",IN1016.
183.12,183.98,B,", et cetera . So in terms",IN1016.
183.76,184.06,C,. Yeah,IN1016.
183.98,184.12,B,of,IN1016.
184.06,184.06,C,.,IN1016.
184.12,186.75,B,recognition fifty percent goes away,IN1016.
186.2,186.5,C,Yeah .,IN1016.
186.75,192.57,B,". Of the rest uh remaining fifty percent I mean are all words that appear one , two , three times",IN1016.
192.19,192.49,C,Yeah .,IN1016.
192.57,204.97,B,". So in any case even if actually and they tend to be uh related or a statistically related to a single slide , in any case in terms of uh recognition do not help at all",IN1016.
204.28,204.98,C,It's not gonna,IN1016.
204.97,205.09,B,", or",IN1016.
204.98,205.33,C,yeah,IN1016.
205.09,205.34,B,help a,IN1016.
205.33,205.33,C,.,IN1016.
205.34,212.41,B,"very little . So uh that's the kind of thing uh I mean that's the kind of measure , the ind statistical independence is not on single words",IN1016.
212.29,213.36,C,Yeah,IN1016.
212.41,213.8,B,. Is overall,IN1016.
213.36,213.91,C,". Yeah , yeah",IN1016.
213.8,213.96,B,", which",IN1016.
213.91,213.91,C,.,IN1016.
213.96,216.69,B,basically means in terms of recognition that doesn't help,IN1016.
216.69,216.86,C,This,IN1016.
216.69,216.69,B,.,IN1016.
216.86,225.76,C,is so sort of a feeling that we had but hadn't shown . I think I mean i in uh from uh from an application point of view it might be interesting,IN1016.
225.48,225.69,B,Hmm .,IN1016.
225.76,232.03,C,to make sure that your vocabulary contains all the words on the slides . But from a research perspective it's not interesting .,IN1016.
232.31,242.09,B,"You know , even if actually I remember I just made some measure uh saying okay l let's look at how many words I don't have in the dictionary and are in the slides",IN1016.
240.83,241.66,C,There'd be very few .,IN1016.
242.09,242.28,B,. It,IN1016.
242.28,242.79,A,Yeah,IN1016.
242.28,243.28,B,was two percent,IN1016.
242.79,243.75,A,", true . Yeah",IN1016.
243.28,243.28,B,.,IN1016.
243.75,244.16,A,", almost",IN1016.
243.78,244.33,C,"Well , this",IN1016.
244.16,244.44,A,nothing,IN1016.
244.33,244.56,C,is,IN1016.
244.44,244.44,A,.,IN1016.
244.56,246.58,C,h this is how the dictionary's calculated . It,IN1016.
246.55,247.89,D,Yeah,IN1016.
246.58,247.24,C,calculated,IN1016.
246.59,246.93,A,Mm-hmm .,IN1016.
247.24,248.72,C,such that,IN1016.
247.89,247.89,D,.,IN1016.
248.2,249.06,B,Exactly,IN1016.
248.72,249.19,C,if you don't,IN1016.
249.06,249.06,B,.,IN1016.
249.19,250.93,C,have the word it doesn't affect to,IN1016.
250.85,251.33,B,Exactly,IN1016.
250.93,251.61,C,a great degree,IN1016.
251.33,251.33,B,.,IN1016.
251.61,253.78,C,the the the word error rate . So,IN1016.
253.26,254.03,B,Exactly . So,IN1016.
253.98,254.21,A,Mm-hmm,IN1016.
254.03,254.27,B,some,IN1016.
254.21,254.21,A,.,IN1016.
254.27,262.43,B,"in some sense it intuitively it sounds very good . But in practical terms , in terms of recognition uh here we we we have to be clear",IN1016.
262.43,262.82,C,Yeah,IN1016.
262.43,262.83,B,. If you want to,IN1016.
262.82,262.82,C,.,IN1016.
262.83,265.26,B,"improve the recognition , that im",IN1016.
264.54,264.96,C,Sure .,IN1016.
265.26,267.29,B,improves very slightly,IN1016.
266.72,266.94,C,Yep .,IN1016.
267.29,270.36,B,. Uh it is different if you want to have other tasks,IN1016.
270.07,270.88,C,M like,IN1016.
270.36,271.03,B,where the,IN1016.
270.88,271.29,C,yeah,IN1016.
271.03,271.39,B,only,IN1016.
271.29,271.29,C,.,IN1016.
271.39,274.66,B,words that all are words,IN1016.
274.64,275.01,C,Yeah,IN1016.
274.66,275.04,B,. In that,IN1016.
275.01,275.01,C,.,IN1016.
275.04,277.46,B,"case , even the slight improvements uh he",IN1016.
277.33,277.66,C,Yeah,IN1016.
277.46,278.3,B,gets,IN1016.
277.66,277.66,C,.,IN1016.
278.3,281.02,B,"at that point , they can make the difference",IN1016.
280.44,281.27,C,But,IN1016.
281.02,281.32,B,. But does,IN1016.
281.27,281.38,C,th,IN1016.
281.32,281.4,B,the,IN1016.
281.38,282.45,C,yeah,IN1016.
281.4,282.28,B,recognition,IN1016.
282.45,285.12,C,". No . Well , this is yeah . That's yeah",IN1016.
285.05,285.39,B,And,IN1016.
285.12,285.12,C,.,IN1016.
285.39,290.81,B,some way the statistical independence I think it can be a good explanation to show why it is happen,IN1016.
290.53,290.78,C,Yeah .,IN1016.
290.81,294.29,B,even if it is counterintuitive . But that's that's what happens basically,IN1016.
294.22,294.92,A,Huh,IN1016.
294.29,294.29,B,.,IN1016.
294.92,295.04,A,. So,IN1016.
294.99,295.16,D,Could,IN1016.
295.04,295.32,A,Matthew,IN1016.
295.16,295.34,D,you,IN1016.
295.32,295.46,A,we,IN1016.
295.34,295.97,D,ju,IN1016.
295.46,295.99,A,were,IN1016.
