Start,End,Speaker,Speech,meeting
54.95,55.86,A,Okay,IS1009a
55.7,56.03,D,Okay,IS1009a
55.86,56.28,A,. Everybody,IS1009a
56.03,56.03,D,.,IS1009a
56.28,57.69,A,ready,IS1009a
56.9,57.04,C,Yeah .,IS1009a
57.25,57.7,D,I think so,IS1009a
57.69,58.18,A,? Uh,IS1009a
57.7,57.7,D,.,IS1009a
58.18,60.85,A,I think the first thing we do is introduce ourselves,IS1009a
61.54,62.15,D,"Yeah , that's a good",IS1009a
62.0,62.72,A,and,IS1009a
62.15,62.57,D,plan .,IS1009a
62.72,66.85,A,everybody's name and what your function is ? So maybe we start,IS1009a
66.63,67.39,B,Okay,IS1009a
66.85,67.29,A,with you ?,IS1009a
67.39,76.61,B,". Yeah , my name is Francina . And I'm uh an user interface my role is uh the main responsibility is user interface",IS1009a
76.08,76.43,A,Mm-hmm .,IS1009a
76.61,80.83,B,. And my role is to design uh a television remote control .,IS1009a
81.04,82.05,A,Mm-hmm . Okay .,IS1009a
83.39,86.94,D,And I'm a marketing person . I wanna figure out how to sell them .,IS1009a
87.49,88.59,A,Mm-hmm . And your name is ?,IS1009a
88.82,89.69,D,My name is Eileen .,IS1009a
90.21,90.52,A,Okay .,IS1009a
91.31,107.4,C,Yeah . Uh I'm Jeanne-Oui . Um uh my role is industrial designer and my responsibilities are uh uh um deal with the technical-functional designs and specifications of user interface and dealing with user interface design .,IS1009a
107.88,118.17,A,Very good . And as you already know I am Betty . I am the project manager for today . So why don't we look at the presentation to see what we really are supposed to do .,IS1009a
118.76,119.05,D,Okay .,IS1009a
119.38,131.4,A,"Um . Yes y opening , acquaintance , tool training well , the tools are , I think , we already I guess the tool is really our the computer",IS1009a
131.13,131.49,D,Mm-hmm,IS1009a
131.4,131.64,A,", as far",IS1009a
131.49,131.49,D,.,IS1009a
131.64,146.17,A,"as I can see . Uh we get ins each of us will get instructions and we'll take it from there . Project plan , that falls under the same heading pretty much . Um , I don't think we have any great discussion at this point",IS1009a
145.55,145.79,D,No .,IS1009a
146.17,159.66,A,. Um . Here is what this thing should be . This thing we are gonna um uh design is a new remote control . Uh should be original,IS1009a
