Start,End,Speaker,Speech,meeting
23.53,24.32,D,Hello .,TS3008a
68.27,68.73,D,Dang it .,TS3008a
72.33,76.43,A,And then you have to place your laptop exactly on the marked spot,TS3008a
76.42,76.92,D,Alright,TS3008a
76.43,76.43,A,.,TS3008a
76.92,76.92,D,.,TS3008a
83.69,87.42,A,It's important to place your laptop exactly on the marked spot over here .,TS3008a
87.55,88.01,B,Okay .,TS3008a
95.14,96.73,B,"No , that's okay .",TS3008a
103.9,104.69,B,"Joost , your mouse .",TS3008a
105.86,106.02,D,What ?,TS3008a
107.01,107.73,B,No mouse needed ?,TS3008a
108.24,111.0,D,I've got a touch-pad . Do you know,TS3008a
110.97,111.34,B,Mm,TS3008a
111.0,111.44,D,how,TS3008a
111.34,111.34,B,.,TS3008a
111.44,112.9,D,how I can wake it up ?,TS3008a
114.57,115.09,B,A touch-pad ?,TS3008a
115.76,117.23,D,"No , my laptop .",TS3008a
118.86,119.31,B,Slap it .,TS3008a
122.05,129.54,D,You with your brilliant ideas . I don't know if I can touch the power button . Do you know how how I can wake,TS3008a
129.35,129.69,B,Is,TS3008a
129.54,129.87,D,it up ?,TS3008a
129.97,132.59,A,No . Yeah . Try the power button .,TS3008a
132.94,133.23,D,Oh .,TS3008a
138.53,139.35,D,"Come on , move it .",TS3008a
143.95,144.3,B,Um,TS3008a
151.1,152.27,D,"Now , wake up , bitch .",TS3008a
155.08,155.23,A,Huh .,TS3008a
158.44,163.71,B,F_ five . F_ five,TS3008a
163.27,163.82,C,I've lost,TS3008a
163.71,163.71,B,.,TS3008a
163.82,164.82,C,my screen . Uh,TS3008a
165.58,167.96,D,"Yeah , so did I . I closed",TS3008a
167.74,168.17,B,I don't,TS3008a
167.96,168.44,D,it,TS3008a
168.17,168.17,B,.,TS3008a
168.44,180.09,D,". That wasn that wasn't very smart , I guess . Come on . Get back to me . Yes",TS3008a
179.93,180.13,C,Yes,TS3008a
180.09,180.09,D,.,TS3008a
180.13,184.32,C,. I closed the,TS3008a
183.88,184.55,D,I closed it .,TS3008a
184.82,187.53,B,You've got your name,TS3008a
185.49,187.59,A,"Yeah , my name is name",TS3008a
187.53,187.53,B,.,TS3008a
187.59,187.59,A,.,TS3008a
189.68,194.73,D,"No , I didn't restart it , I just closed it . Yes .",TS3008a
196.85,197.78,B,Hope it working .,TS3008a
198.94,199.34,D,Alright .,TS3008a
201.49,201.81,C,No .,TS3008a
208.31,209.42,B,Never close your laptop .,TS3008a
211.16,213.19,A,Yeah ? Everybody's ready,TS3008a
212.32,213.4,D,Great,TS3008a
212.65,212.93,B,Yeah .,TS3008a
213.19,214.9,A,? Great,TS3008a
213.4,213.78,D,. Thanks .,TS3008a
